calories,proteins,fat,carbohydrate,name,calories_norm,proteins_norm,fat_norm,carbo_norm
354.0,7.8,0.4,79.9,Beras tumbuk mentah,0.37659574468085105,0.09397590361445783,0.004,0.12349304482225658
352.0,7.3,0.9,76.2,Beras tumbuk merah mentah,0.37446808510638296,0.08795180722891567,0.009000000000000001,0.11777434312210201
145.0,16.3,7.0,4.1,Betok wadi masakan,0.15425531914893617,0.1963855421686747,0.07,0.00633693972179289
360.0,4.7,0.1,82.1,Bihun,0.3829787234042553,0.05662650602409639,0.001,0.12689335394126738
154.0,3.0,4.5,25.5,Bihun Goreng ,0.16382978723404257,0.03614457831325302,0.045,0.03941267387944358
381.0,6.1,3.9,80.3,Bihun goreng instan,0.4053191489361702,0.07349397590361446,0.039,0.12411128284389489
354.0,0.5,0.3,87.4,Bihun Jagung mentah,0.37659574468085105,0.006024096385542169,0.003,0.13508500772797527
348.0,4.7,0.1,82.1,Bihun mentah,0.3702127659574468,0.05662650602409639,0.001,0.12689335394126738
562.0,21.2,49.6,23.6,Biji Jambu Mete,0.597872340425532,0.25542168674698795,0.49600000000000005,0.03647604327666151
629.0,21.5,56.6,19.8,Biji Jambu Mete goreng,0.6691489361702128,0.25903614457831325,0.5660000000000001,0.030602782071097373
262.0,2.3,5.4,51.1,Biji nangka/Biji salak,0.27872340425531916,0.027710843373493974,0.054000000000000006,0.07897990726429675
199.0,2.1,1.5,44.4,Bika ambon,0.21170212765957447,0.025301204819277112,0.015,0.06862442040185471
225.7,3.0,0.3,52.9,Bika Ambon ,0.2401063829787234,0.03614457831325302,0.003,0.08176197836166924
48.0,0.6,0.0,4.4,Bir (4% alkohol),0.05106382978723405,0.007228915662650603,0.0,0.0068006182380216385
458.0,6.9,14.4,75.1,Biskuit,0.48723404255319147,0.08313253012048194,0.14400000000000002,0.11607418856259659
42.0,1.6,0.1,9.6,Bit,0.04468085106382979,0.01927710843373494,0.001,0.014837712519319937
51.0,0.3,0.1,12.1,Biwah segar,0.05425531914893617,0.0036144578313253013,0.001,0.018701700154559506
43.0,2.6,0.0,11.6,Bonggol Pisang,0.04574468085106383,0.03132530120481928,0.0,0.01792890262751159
245.0,3.4,0.0,66.2,Bonggol Pisang kering,0.26063829787234044,0.04096385542168675,0.0,0.10231839258114374
119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil),0.12659574468085105,0.05301204819277109,0.035,0.028284389489953633
23.0,1.0,0.8,7.2,Boros Kunci,0.02446808510638298,0.012048192771084338,0.008,0.011128284389489953
22.0,1.0,0.3,4.7,Boros Laja (lengkuas),0.023404255319148935,0.012048192771084338,0.003,0.007264296754250387
186.0,11.7,9.7,13.0,Botok lamtoro,0.19787234042553192,0.14096385542168674,0.09699999999999999,0.02009273570324575
249.0,3.4,0.4,58.0,Brem,0.2648936170212766,0.04096385542168675,0.004,0.08964451313755796
400.0,4.0,0.7,95.3,Brondong ,0.425531914893617,0.04819277108433735,0.006999999999999999,0.1472952086553323
141.0,15.3,3.3,12.6,Brongkos,0.15,0.1843373493975904,0.033,0.019474497681607417
23.0,0.8,0.2,5.2,Buah Atung,0.02446808510638298,0.00963855421686747,0.002,0.0080370942812983
